text,label
Major Order in India Comptel Corporation has received a significant long-term order for mediation and provisioning solutions being used by a leading operator in India .,positive
"takes a clunky tv movie approach to detailing a chapter in the life of the celebrated irish playwright , poet and drinker",negative
what it lacks in substance it makes up for in heart,positive
"sure , it 's contrived and predictable , but its performances are so well tuned that the film comes off winningly , even though it 's never as solid as you want it to be",positive
Cash flow from operations rose to EUR 52.7 mn from EUR 15.6 mn in 2007 .,positive
writer director stephen gaghan has made the near fatal mistake of being what the english call ` too clever by half ',negative
"works , it 's thanks to huston 's revelatory performance",positive
howard conjures the past via surrealist flourishes so overwrought you 'd swear he just stepped out of a bu uel retrospective,positive
"i 'm not a fan of the phrase ` life affirming ' because it usually means ` schmaltzy , ' but real women have curves truly is life affirming",positive
"the actors are simply too good , and the story too intriguing , for technical flaws to get in the way",positive
"angela gheorghiu as famous prima donna floria tosca , roberto alagna as her lover mario cavaradossi , and ruggero as the villainous , lecherous police chief scarpia , all sing beautifully and act adequately",positive
The investments and operational changes enable additional optimisation of the working hours and thereby further cost savings of some 7 % -9 % .,positive
"by surrounding us with hyper artificiality , haynes makes us see familiar issues , like racism and homophobia , in a fresh way",positive
17 March 2011 - Goldman Sachs estimates that there are negative prospects for the Norwegian mobile operations of Norway 's Telenor ASA OSL : TEL and Sweden 's TeliaSonera AB STO : TLSN in the short term .,negative
"henry bean 's thoughtful screenplay provides no easy answers , but offers a compelling investigation of faith versus intellect",positive
"in an era where big stars and high production values are standard procedure , narc strikes a defiantly retro chord , and outpaces its contemporaries with daring and verve",positive
"an ambitiously naturalistic , albeit half baked , drama about an abused , inner city autistic teen",positive
"you may think you have figured out the con and the players in this debut film by argentine director fabian bielinsky , but while you were thinking someone made off with your wallet",negative
staggers between flaccid satire and what is supposed to be madcap farce,negative
kim ki deok seems to have in mind an lrb emotionally at least rrb adolescent audience demanding regular shocks and bouts of barely defensible sexual violence to keep it interested,negative
"Earnings per share ( EPS ) in the first half of 2007 amounted to EUR0 .29 , down from EUR0 .40 year ago .",negative
"as commander in chief of this film , bigelow demonstrates a breadth of vision and an attention to detail that propels her into the upper echelons of the directing world",positive
"a sexy , peculiar and always entertaining costume drama set in renaissance spain , and the fact that it 's based on true events somehow makes it all the more compelling",positive
my advice is to skip the film and pick up the soundtrack,negative
plays like a series of vignettes clips of a film that are still looking for a common through line,negative
"at some point , all this visual trickery stops being clever and devolves into flashy , vaguely silly overkill",negative
beresford nicely mixes in as much humor as pathos to take us on his sentimental journey of the heart,positive
jacquot 's strategy allows his cast the benefit of being able to give full performances while demonstrating vividly that the beauty and power of the opera reside primarily in the music itself,positive
"quite frankly , i ca n't see why any actor of talent would ever work in a mcculloch production again if they looked at how this movie turned out",negative
"it is supremely unfunny and unentertaining to watch middle age and older men drink to excess , piss on trees , b s one another and put on a show in drag",negative
the kind of film that leaves you scratching your head in amazement over the fact that so many talented people could participate in such an ill advised and poorly executed idea,negative
"if you 're not a fan , it might be like trying to eat brussels sprouts",negative
"hampered no , paralyzed by a self indulgent script that aims for poetry and ends up sounding like satire",negative
"nothing here seems as funny as it did in analyze this , not even joe viterelli as de niro 's right hand goombah",negative
delivers more than its fair share of saucy hilarity,positive
a tour de force of modern cinema,positive
"bright , intelligent , and humanly funny film",positive
"few films have captured the chaos of an urban conflagration with such fury , and audience members will leave feeling as shaken as nesbitt 's cooper looks when the bullets stop flying",positive
Economic reforms led to long-term growth prospects,positive
"it 's definitely an improvement on the first blade , since it does n't take itself so deadly seriously",positive
"a nearly 21 2 hours , the film is way too indulgent",negative
"an inuit masterpiece that will give you goosebumps as its uncanny tale of love , communal discord , and justice unfolds",positive
i have to admit i walked out of runteldat,negative
"when the fire burns out , we 've only come face to face with a couple dragons and that 's where the film ultimately fails",negative
"HELSINKI ( AFX ) - Nokian Tyres reported a fourth quarter pretax profit of 61.5 mln eur , up from 48.6 mln on the back of strong sales .",positive
"smith examines the intimate , unguarded moments of folks who live in unusual homes which pop up in nearly every corner of the country",positive
garcia and the other actors help make the wobbly premise work,positive
witless and utterly pointless,negative
"problem is , we have no idea what in creation is going on",negative
tsai convincingly paints a specifically urban sense of disassociation here,positive
crush could be the worst film a man has made about women since valley of the dolls,negative
